pid1,no,pid2,id,distance
BV10000150,12,BV10013377,278
BV10013377,13,BV10006575,279
BV10006575,14,BV10013512,280
BV10013512,15,BV10013511,281
BV10013511,16,BV10002731,282
BV10416596,1,BV10416588,283
BV10416588,2,BV10416590,284
BV10416590,3,BV10013356,285
BV10013356,4,BV10416592,286
BV10416592,5,BV10416591,287
BV10416591,6,BV10416595,288
BV10416595,7,BV10416594,289
BV10416594,8,BV10416587,290
BV10416587,9,BV10416593,291
BV10416593,10,BV10008284,292
BV10008284,11,BV10013364,293
BV10013364,12,BV10006224,294
BV10006224,13,BV10007475,295
BV10007475,14,BV10590953,296
BV10590953,15,BV10013367,297
BV10013367,16,BV10012561,298
BV10012561,17,BV10006603,299
BV10006603,18,BV10590951,300
BV10590951,19,BV10013368,301
BV10013368,20,BV10006454,302
BV10006454,21,BV10590952,303
BV10590952,22,BV10013370,304
BV10013370,23,BV10013371,305
BV10013371,24,BV10013372,306
BV10013372,25,BV10013373,307
BV10013373,26,BV10000215,308
BV10000215,27,BV10000636,309
BV10000636,28,BV10006219,310
BV10006219,29,BV10013400,311
BV10013400,30,BV10007072,312
BV10007072,31,BV10013401,313
BV10013401,32,BV10006917,314
BV10002186,1,BV10013405,315
BV10013405,2,BV10013404,316
BV10013404,3,BV10002190,317
BV10002190,4,BV10009387,318
BV10009387,5,BV10002223,319
BV10002223,6,BV10013403,320
BV10013403,7,BV10002193,321
BV10002193,8,BV10011274,322
BV10011274,9,BV10000963,323
BV10000963,10,BV10013402,324
BV10013402,11,BV10013356,325
BV10013356,12,BV10013377,326
BV10013377,13,BV10416640,327
BV10416640,14,BV10013376,328
BV10013376,15,BV10416647,329
BV10416647,16,BV10013375,330
BV10013375,17,BV10416650,331
BV10416650,18,BV10416642,332
BV10416642,19,BV10416646,333
BV10740312,1,BV10740317,334
BV10740317,2,BV10711029,335
BV10711029,3,BV10740314,336
BV10740314,4,BV10740319,337
BV10740319,5,BV10740315,338
BV10740315,6,BV10740313,339
BV10740313,7,BV10740318,340
BV10740318,8,BV10740316,341
BV10740316,9,BV10000920,342
BV10000920,10,BV10531973,343
BV10531973,11,BV10007288,344
BV10007288,12,BV10000208,345
BV10000208,13,BV10000252,346
BV10000252,14,BV10013501,347
BV10013501,15,BV11409822,348
BV10013367,1,BV11031729,349
BV11031729,2,BV11031727,350
BV11031727,3,BV11031728,351
BV11031728,4,BV11031725,352
BV11031725,5,BV10011266,353
BV10011266,6,BV11031726,354
BV10013418,1,BV10881788,355
BV10881788,2,BV10000222,356
BV10000222,3,BV10881789,357
BV10881789,4,BV10013430,358
BV10013430,5,BV10000017,359
BV10000275,1,BV10007589,360
BV10007589,2,BV10013517,361
BV10013517,3,BV10013518,362
BV10013518,4,BV10013519,363
BV10013519,5,BV10004294,364
BV10004294,6,BV10001118,365
BV10001118,7,BV10004143,366
BV10004143,8,BV10004141,367
BV10004141,9,BV10001298,368
BV10001298,10,BV10002455,369
BV10002455,11,BV10013520,370
BV10013520,12,BV10004138,371
BV10004138,13,BV11253781,372
BV11253781,14,BV10850689,373
BV10550714,1,BV10013483,374
BV10013483,2,BV10013482,375
BV10013482,3,BV10550716,376
BV10550716,4,BV10550715,377
BV10550715,5,BV10001633,378
BV10001633,6,BV10013477,379
BV10013477,7,BV10000338,380
BV10000338,8,BV10013478,381
BV10013478,9,BV10000571,382
BV10000571,10,BV10000877,383
BV10000877,11,BV10007027,384
BV10007027,12,BV11467455,385
BV10000222,1,BV10877516,386
BV10877516,2,BV11146181,387
BV10561755,1,BV10003977,388
BV10003977,2,BV10013427,389
BV10013427,3,BV10003994,390
BV10003994,4,BV10003965,391
BV10003965,5,BV10003967,392
BV10003967,6,BV10013426,393
BV10013426,7,BV10001096,394
BV10001096,8,BV10013425,395
BV10013425,9,BV10013424,396
BV10013424,10,BV10013423,397
BV10013423,11,BV10007779,398
BV10007779,12,BV10563755,399
BV10563755,13,BV10563754,400
BV10563754,14,BV10013494,401
BV10013494,15,BV10562654,402
BV10009415,1,BV10013428,403
BV10013428,2,BV10000199,404
BV10000199,3,BV10002731,405
BV10002731,4,BV10013443,406
BV10013394,1,BV10968850,407
BV10968850,2,BV10968847,408
BV10968847,3,BV10968866,409
BV10968866,4,BV10968849,410
BV10968849,5,BV10968848,411
BV10561755,1,BV10420734,412
BV10420734,2,BV10420737,413
BV10420737,3,BV10420735,414
BV10420735,4,BV10881795,415
BV10881795,5,BV10420736,416
BV10420736,6,BV10420727,417
BV10420727,7,BV10420731,418
BV10420731,8,BV10420733,419
BV10000743,1,BV10011446,420
BV10011446,2,BV10012008,421
BV10012008,3,BV10000335,422
BV10000335,4,BV10013453,423
BV10013453,5,BV10013452,424
BV10013452,6,BV10013451,425
BV10013451,7,BV10003511,426
BV10003511,8,BV10013450,427
BV10013450,9,BV10007921,428
BV10007921,10,BV10013449,429
BV10013449,11,BV10013448,430
BV10013448,12,BV10011266,431
BV10011266,13,BV10013399,432
BV10249978,1,BV10243546,433
BV10243546,2,BV10249964,434
BV10249964,3,BV10246013,435
BV10246013,4,BV10246013,436
BV10246013,5,BV10245558,437
BV10245558,6,BV10249909,438
BV10249909,7,BV10243519,439
BV10243519,8,BV10243493,440
BV10243493,9,BV10248569,441
BV10248569,10,BV10243468,442
BV10243468,11,BV10249928,443
BV10249928,12,BV10243704,444
BV10243704,13,BV10249977,445
BV10249977,14,BV10249976,446
BV10249976,15,BV10242356,447
BV10242356,16,BV10244044,448
BV10244044,17,BV10249975,449
BV10249975,18,BV10249974,450
BV10249974,19,BV10249851,451
BV10249851,20,BV10249973,452
BV10249973,21,BV10249972,453
BV10249972,22,BV10249931,454
BV10249931,23,BV10249971,455
BV10249971,24,BV10249947,456
BV10249947,25,BV10249970,457
BV10249970,26,BV10249969,458
BV10249969,27,BV10249968,459
BV10249968,28,BV10242458,460
BV10242458,29,BV10244581,461
BV10244581,30,BV10249071,462
BV10249984,1,BV10249985,463
BV10249985,2,BV10244034,464
BV10244034,3,BV10249986,465
BV10249986,4,BV10244079,466
BV10244079,5,BV10249987,467
BV10249987,6,BV10249988,468
BV10249988,7,BV10249989,469
BV10249989,8,BV10249990,470
BV10249990,9,BV10249991,471
BV10249991,10,BV10249992,472
BV10249992,11,BV10242356,473
BV10242356,12,BV10249993,474
BV10249993,13,BV10249994,475
BV10249994,14,BV10249904,476
BV10249904,15,BV10249995,477
BV10249995,16,BV10249996,478
BV10249996,17,BV10243787,479
BV10243787,18,BV10249926,480
BV10249926,19,BV10249997,481
BV10249997,20,BV10249929,482
BV10249929,21,BV10243488,483
BV10243488,22,BV10249998,484
BV10249998,23,BV10243650,485
BV10243650,24,BV10249999,486
BV10249999,25,BV10246013,487
BV10246013,26,BV10250000,488
BV10250000,27,BV10243876,489
BV10243876,28,BV10249914,490
BV10249914,29,BV10677095,491
BV10677095,30,BV10677096,492
BV10677096,31,BV10242475,493
BV10242475,32,BV10684317,494
BV10684317,33,BV10249915,495
BV10249915,34,BV10244749,496
BV10244749,35,BV10249916,497
BV10249916,36,BV10684318,498
BV10684318,37,BV10684315,499
BV10793836,1,BV10249967,500
BV10249967,2,BV10243850,501
BV10243850,3,BV10248569,502
BV10248569,4,BV10249929,503
BV10249929,5,BV10243648,504
BV10243648,6,BV10249966,505
BV10249966,7,BV10249910,506
BV10249910,8,BV10249965,507
BV10249965,9,BV10249921,508
BV10249921,10,BV10249964,509
BV10249964,11,BV10249963,510
BV10249963,12,BV10249962,511
BV10249962,13,BV10246144,512
BV10246144,14,BV10246345,513
BV10246345,15,BV10243477,514
BV10243477,16,BV10249935,515
BV10249935,17,BV10249961,516
BV10249961,18,BV10249960,517
BV10249960,19,BV10249959,518
BV10249959,20,BV10249958,519
BV10249958,21,BV10249957,520
BV10249957,22,BV10249956,521
BV10249956,23,BV10249955,522
BV10249955,24,BV10249954,523
BV10249954,25,BV10249953,524
BV10249953,26,BV10249952,525
BV10249952,27,BV10249951,526
BV10249951,28,BV10243745,527
BV10243745,29,BV10249950,528
BV10249950,30,BV10249875,529
BV10243512,1,BV10249907,530
BV10249907,2,BV10243493,531
BV10243493,3,BV10243488,532
BV10243488,4,BV10243648,533
BV10243648,5,BV10245550,534
BV10245550,6,BV10243815,535
BV10243815,7,BV10249983,536
BV10249983,8,BV10249982,537
BV10249982,9,BV10244305,538
BV10244305,10,BV10249884,539
BV10249884,11,BV10249885,540
BV10249885,12,BV10249981,541
BV10249981,13,BV10249980,542
BV10249980,14,BV10249979,543
BV10249979,15,BV10877299,544
BV10877299,16,BV10877294,545
BV10877294,17,BV10877293,546
BV10877293,18,BV10877296,547
BV10877296,19,BV10877297,548
BV10877297,20,BV10877295,549
BV10877295,21,BV10877300,550
BV10877300,22,BV10877298,551
BV10249984,1,BV10868017,552
BV10868017,2,BV10868018,553
BV10868018,3,BV10868015,554
BV10868015,4,BV10868014,555
BV10868014,5,BV10724147,556
BV10724147,6,BV10868016,557
BV10868016,7,BV10249931,558
BV10249931,8,BV10249949,559
BV10249949,9,BV10249948,560
BV10249948,10,BV10249947,561
BV10249947,11,BV10249946,562
BV10249946,12,BV10249853,563
BV10249853,13,BV10249945,564
BV10249945,14,BV10249944,565
BV10249944,15,BV10243933,566
BV10243933,16,BV10249901,567
BV10249901,17,BV10249943,568
BV10249943,18,BV10249942,569
BV10249942,19,BV10249941,570
BV10249941,20,BV10244305,571
BV10244305,21,BV10249940,572
BV10249940,22,BV10249939,573
BV10249939,23,BV10249938,574
BV10249938,24,BV10249937,575
BV10249937,25,BV10244202,576
BV10244202,26,BV10244199,577
BV10244199,27,BV10249936,578
BV10249936,28,BV10249935,579
BV10249935,29,BV10247063,580
BV10247063,30,BV10249934,581
BV10249934,31,BV10249913,582
BV10249913,32,BV10249933,583
BV10249933,33,BV10243876,584
BV10242465,1,BV10527870,585
BV10527870,2,BV10249897,586
BV10249897,3,BV10527879,587
BV10527879,4,BV10527869,588
BV10527869,5,BV10249894,589
BV10249894,6,BV10527872,590
