name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,24182,3300027081,,,,,,,116.2064118,39.9801177,,,
,24183,3300183802,,,,,,,116.206441,39.9804161,,,
,24184,3300027083,,,,,,,116.205666,39.9806966,,,
,24185,3300183801,,,,,,,116.2056605,39.9804366,,,
,24186,3300027084,,,,,,,116.2056497,39.9801426,,,
,24187,3300183889,,,,,,,116.2063537,39.9798201,,,
,24188,3300183887,,,,,,,116.2062964,39.9795264,,,
,24189,3300183885,,,,,,,116.2037436,39.9797006,,,
,24190,3300183884,,,,,,,116.2037919,39.9800149,,,
,24191,3300027075,,,,,,,116.2039434,39.979994,,,
,24192,3300027090,,,,,,,116.2032818,39.9801181,,,
,24193,3300183813,,,,,,,116.2033373,39.980525,,,
,24194,3300183815,,,,,,,116.2033109,39.9803314,,,
,24195,3300183890,,,,,,,116.2040366,39.9807023,,,
,24196,3300183814,,,,,,,116.204006,39.980465,,,
,24197,3300183816,,,,,,,116.2039803,39.9802655,,,
,24198,3300027076,,,,,,,116.2051345,39.9798656,,,
,24199,3300183892,,,,,,,116.2047957,39.9804511,,,
,24200,3300027080,,,,,,,116.205298,39.9804396,,,
,24201,3300035468,,,,,,,116.2083547,39.9808148,,,
,24202,3300031895,,,,,,,116.2123647,39.9790659,,,
,24203,3300031906,,,,,,,116.2112875,39.9795835,,,
,24204,3300031907,,,,,,,116.209958,39.9796499,,,
,24205,3300195461,,,,,,,116.2100083,39.9793225,,,
,24206,3300195469,,,,,,,116.2109863,39.9793186,,,
,24207,3300031918,,,,,,,116.2111109,39.9796549,,,
,24208,3300031919,,,,,,,116.2097699,39.9796209,,,
,24209,3300195496,,,,,,,116.2097446,39.9796798,,,
,24210,3300031924,,,,,,,116.2124729,39.9784455,,,
,24211,3300031925,,,,,,,116.2129191,39.978443,,,
,24212,3300195485,,,,,,,116.2115762,39.9794719,,,
,24213,3300195502,,,,,,,116.2105182,39.9797048,,,
,24214,3300195497,,,,,,,116.210098,39.9796794,,,
,24215,3300031957,,,,,,,116.2090448,39.979369,,,
,24216,3300035467,,,,,,,116.2083518,39.9790285,,,
,24217,3300035478,,,,,,,116.2073083,39.9785331,,,
,24218,3300183767,,,,,,,116.2068493,39.9782638,,,
,24219,3300195470,,,,,,,116.2084607,39.9778979,,,
,24220,3300195512,,,,,,,116.2104804,39.9780538,,,
,24221,3300195516,,,,,,,116.2109362,39.9781104,,,
,24222,3300195515,,,,,,,116.2114431,39.9780694,,,
,24223,3300195486,,,,,,,116.2084379,39.9802737,,,
,24224,3300035474,,,,,,,116.2088188,39.9796586,,,
,24225,3300195488,,,,,,,116.2077092,39.9795836,,,
,24226,3300047678,,,,,,,116.2094189,39.9773717,,,
,24227,3300047680,,,,,,,116.2075228,39.9773687,,,
,24228,9140940169,,,,,,,116.2058066,39.977366,,,
,24229,3300182920,,,,,,,116.2057,39.9773658,,,
,24230,3300183789,,,,,,,116.2029872,39.9773614,,,
,24231,3300047688,,,,,,,116.2094207,39.97726,,,
,24232,3300135049,,,,,,,116.2094237,39.9770753,,,
,24233,3300047707,,,,,,,116.2094258,39.9769479,,,
,24234,3300135368,,,,,,,116.209429,39.9767493,,,
,24235,3300047705,,,,,,,116.2094309,39.9766311,,,
,24236,3300135367,,,,,,,116.2094342,39.9764302,,,
,24237,3300047703,,,,,,,116.2094364,39.9762917,,,
,24238,3300047701,,,,,,,116.2094411,39.9760046,,,
,24239,3300047700,,,,,,,116.2094456,39.9757251,,,
,24240,3300066365,,,,,,,116.2094654,39.9739952,,,
,24241,3300109253,,,,,,,116.2094906,39.9729188,,,
,24242,3300066387,,,,,,,116.2094919,39.9728633,,,
,24243,3300047681,,,,,,,116.2075423,39.9770675,,,
,24244,3300047683,,,,,,,116.2076368,39.9767506,,,
,24245,3300135053,,,,,,,116.2076766,39.9764359,,,
,24246,3300135051,,,,,,,116.2076457,39.9760932,,,
,24247,3300135056,,,,,,,116.2076559,39.9757808,,,
,24248,3300135058,,,,,,,116.2076663,39.9754589,,,
,24249,3300135060,,,,,,,116.2076767,39.975141,,,
,24250,3300135043,,,,,,,116.2076878,39.9747995,,,
,24251,3300135362,,,,,,,116.2077053,39.9742626,,,
,24252,3300109252,,,,,,,116.2077155,39.9739478,,,
,24253,3300135036,,,,,,,116.2077528,39.9728032,,,
,24254,3300047709,,,,,,,116.211108,39.9772306,,,
,24255,3300047708,,,,,,,116.2127312,39.9768664,,,
,24256,3300047706,,,,,,,116.2126879,39.9765898,,,
,24257,3300047704,,,,,,,116.2126374,39.9762674,,,
,24258,3300047702,,,,,,,116.2125882,39.9759536,,,
,24259,3300047721,,,,,,,116.2112786,39.9756806,,,
,24260,3300047720,,,,,,,116.2108436,39.9756812,,,
,24261,3300047717,,,,,,,116.2100329,39.9757128,,,
,24262,3300047718,,,,,,,116.210039,39.9759949,,,
,24263,3300047719,,,,,,,116.2108436,39.9759819,,,
,24264,3300047714,,,,,,,116.2110908,39.9759815,,,
,24265,3300047722,,,,,,,116.2112747,39.9759749,,,
,24266,3300047713,,,,,,,116.2110908,39.9762791,,,
,24267,3300047723,,,,,,,116.2102811,39.9766204,,,
,24268,3300047716,,,,,,,116.211059,39.9766105,,,
,24269,3300047712,,,,,,,116.2118144,39.9766103,,,
,24270,3300047724,,,,,,,116.2102819,39.9769268,,,
,24271,3300047715,,,,,,,116.2110591,39.9769077,,,
,24272,3300047710,,,,,,,116.2111034,39.9769066,,,
,24273,3300047711,,,,,,,116.2118184,39.976883,,,
,24274,3300066369,,,,,,,116.2121574,39.9742338,,,
,24275,3300066383,,,,,,,116.2120786,39.9742364,,,
,24276,3300066382,,,,,,,116.2115347,39.9742429,,,
,24277,3300066372,,,,,,,116.2114411,39.9742376,,,
,24278,3300066374,,,,,,,116.2112811,39.9742168,,,
,24279,3300066379,,,,,,,116.2108255,39.9741576,,,
,24280,3300066376,,,,,,,116.2106438,39.9741374,,,
,24281,3300066378,,,,,,,116.2102817,39.9741033,,,
,24282,3300066366,,,,,,,116.209598,39.9740358,,,
,24283,3300109255,,,,,,,116.2083516,39.973965,,,
,24284,3300066370,,,,,,,116.2095942,39.9751842,,,
,24285,3300066377,,,,,,,116.2102706,39.9751491,,,
,24286,3300066375,,,,,,,116.2106422,39.9751299,,,
,24287,3300066373,,,,,,,116.2112746,39.9750971,,,
,24288,3300066388,,,,,,,116.2111276,39.9732555,,,
,24289,3300066389,,,,,,,116.2111214,39.9728893,,,
,24290,3300066385,,,,,,,116.2100692,39.9728658,,,
,24291,3300066386,,,,,,,116.2100659,39.9735322,,,
,24292,3300135041,,,,,,,116.2070911,39.972848,,,
,24293,3300135039,,,,,,,116.2067198,39.9728732,,,
,24294,3300135038,,,,,,,116.2064747,39.9742016,,,
,24295,3300135040,,,,,,,116.2069002,39.9741948,,,
,24296,3300135042,,,,,,,116.2072958,39.974181,,,
,24297,3300135044,,,,,,,116.2058527,39.9747903,,,
,24298,3300135059,,,,,,,116.2058712,39.9751285,,,
,24299,3300135057,,,,,,,116.2058893,39.9754575,,,
,24300,3300135055,,,,,,,116.2059069,39.975778,,,
,24301,3300135050,,,,,,,116.2059246,39.9760988,,,
,24302,3300135052,,,,,,,116.2059432,39.9764374,,,
,24303,3300135054,,,,,,,116.2059607,39.9767568,,,
,24304,3300135364,,,,,,,116.206801,39.976096,,,
,24305,3300135363,,,,,,,116.2067955,39.9764367,,,
,24306,3300135365,,,,,,,116.2068046,39.9757795,,,
,24307,3300135366,,,,,,,116.2068046,39.9754582,,,
,24308,3300183768,,,,,,,116.2058766,39.9785121,,,
,24309,3300183790,,,,,,,116.2032708,39.978891,,,
,24310,3300183776,,,,,,,116.2030137,39.978292,,,
,24311,3300183791,,,,,,,116.2032698,39.9792863,,,
,24312,3300183886,,,,,,,116.2054461,39.9795212,,,
,24313,3300183888,,,,,,,116.2054971,39.979822,,,
,24314,3300183891,,,,,,,116.2047994,39.9806996,,,
,24315,9140940168,,,,,,,116.206652,39.9789917,,,
,24316,3300182919,,,,,,,116.2063436,39.9783929,,,
,24317,3300195501,,,,,,,116.2099832,39.9802898,,,
,24318,3300195504,,,,,,,116.2105225,39.97977,,,
,24319,3300195503,,,,,,,116.2105582,39.9803121,,,
,24320,3300195511,,,,,,,116.2111075,39.9805503,,,
,24321,3300195517,,,,,,,116.2109361,39.9777686,,,
,24322,3302124858,,,,,,,116.3005587,40.0143329,,,
,24323,5200255004,,,,,,,116.4321725,39.9322586,,,
,24324,3334154759,,,,,,,116.2410719,39.9156763,,,
,24325,3334154762,,,,,,,116.2434108,39.9154459,,,
,24326,4745579705,,,,,,,116.449619,39.9104212,,,
,24327,3343128794,,,,,,,116.3408436,39.8762656,,,
,24328,3353353574,,,,,,,116.3568059,39.9475543,,,
,24329,2730468070,,,,,,,116.3910225,39.9486145,,,
